source,review_id,review_description,review_title,rating,thumbs_up,review_date,developer_response,developer_response_date,appVersion,laguage_code,country_code
Google Play,2848df28-00d0-4c0c-85e6-6e7eb4483a5f,"Every new update makes the app worse. Dashboard cluttered, charts more and more unreadable, etc. Very sad Google is destroying such a good product.",,1,2,2024-04-21 11:32:43,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,37a27028-d555-4f17-9abe-5411c309d0f4,I miss the weekly challenges. Those really helped to keep me motivated to go for walks daily,,4,0,2024-04-21 11:31:55,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,fe9e8229-d3fd-4ec6-be40-ee8aae94bc2b,"I want to join the many calling for you to rollback the latest update. You've ruined one of my most used features ie, the sleep data. Please roll it back to how it was before.",,1,2,2024-04-21 11:20:10,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,5d90491a-7d34-43af-8529-17e097056b29,"You need to revert the update - the update has completely wiped out the most used feature. The old sleep profile was clear and easy to read/interpret. Now the colours are awful, the graphs are no longer easy to read. Go back to the old sleep profile!",,1,2,2024-04-21 11:10:46,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,81a34283-f447-4b83-a5fa-31c52b84704f,Sleep function display now quite rubbished after last update. Bring back blues and reds or make it configurable. Also input of sleep if the app doesn't guess it for you isn't easy to use. Never has guessed correct sleep pattern after a refresh!,,1,2,2024-04-21 11:07:55,,,4.15.fitbit-mobile-110048703-624243509,en,us
Google Play,9707c5b1-e748-43a1-bc73-4541682b3c2d,"Was a great app but recent updates have bricked it. No longer tracks steps or anything else. Have cleared cache, data, uninstalled, restarted, reinstalled, still does nothing. Glad this happened before I shelled out for a Pixel Watch 2.",,1,1,2024-04-21 11:06:34,"Hi, Dan. Sorry about this and thanks for troubleshooting. If your steps and other data isn't syncing, see: https://goo.gle/syncing If it's something else or if you need further assistance, feel free to reach us at: https://goo.gle/contactfitbit",2024-04-21 11:28:00,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,34fc1320-f23b-401a-b88b-0c76e4138b07,"It's very useful to log my daily activities. I have arthritis, so it's important for me to keep mobile. I can track my movements easily in the app, so I know I'm doing well.",,4,0,2024-04-21 11:00:33,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,832ea150-8710-4852-b702-95f9e9b8cf4d,Enjoying the app make its easy to track everything,,5,0,2024-04-21 10:49:56,,,4.15.fitbit-mobile-110048703-624243509,en,us
Google Play,39688334-6280-4015-b69c-8e6160ba0b9e,It's surprising how can you release a new version that is missing the basic function. Not syncing... No testing from Google,,1,1,2024-04-21 10:47:38,"Hi, Alexei. Sorry to hear. Syncing difficulty is usually caused by a missing requirement. Please verify if it's met, then try these syncing tips: https://goo.gle/syncing If the issue persists, feel free to reach out to our support channels: https://goo.gle/contactfitbit",2024-04-21 10:59:33,,en,us
Google Play,d5325709-891f-4b29-bb5d-800707043d3e,Bring back the old sleep tracking please. That's the only reason why I subscribe to fitbit premium. Whoever designed and approved this new sleep tracker needs to be fired.,,1,3,2024-04-21 10:27:51,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,c8b79ed6-c2be-4769-93dc-6c96af2a37c4,"I agree with all the comments regarding the latest update so nothing really to add except to say, LISTEN TO YOUR CUSTOMERS.",,1,3,2024-04-21 10:24:41,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,d59fcd01-745f-4bb2-9647-63dc181114f0,"Why have you removed the sleep analysis graphs that showed the different phases of sleep (REM, Deep, Light and Awake). That was so easy to understand at a glance because it was highly visual. Now, it's just a couple of pecked lines and it confuses the hell out of me. Why change something that was great and make it hard to follow and time consuming to work out.",,2,44,2024-04-21 10:20:48,,,4.15.fitbit-mobile-110048703-624243509,en,us
Google Play,9092c670-5620-4a31-a3db-28a7d6b112f3,Dross offal futile nugatory Crash incessantly,,1,9,2024-04-21 10:20:45,"HI, Jen. Sorry about this. To cover all the bases, try to force quit the Fitbit app, restart your phone, relaunch the Fitbit app, then monitor the Fitbit app's behavior. If the issue persists, feel free to reach out to our support channels: https://goo.gle/contactfitbit",2024-04-14 06:57:54,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,a783ffa5-c455-4f70-8e26-3c1158094201,"I agree with all the other reviews here, this update has ruined fitbit. The sleep tracking especially. Extremely difficult to read and no longer editable. It tracked me as asleep 2 hours before I went to bed and I can no longer edit this. Which renders it pointless. If no improvement soon I will probably move to another brand.",,1,4,2024-04-21 10:19:28,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,b0e9c630-9a9a-4910-9373-7eaa871eae6d,What an absolutely pointless update The sleep logger was the best feature i used app for and it was easiet to read in the previous version. this update not only makes looks disgusting but is less user-friendly and more difficult to read. Combine this with the fact there is no dark mode for this app..... in 2024 is a utter joke.,,1,2,2024-04-21 10:17:42,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,04ac011a-379c-4046-994c-474377ae8cda,Excellent,,5,0,2024-04-21 10:14:09,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,cd585f7d-00d4-4101-b66f-203dd6e3888a,Don't like new grid for sleep tracking. Why does it not pick up on sleep if it's less than 1 hour? I have a newborn and sometomes only get 40 mins of slelep at a time and it doesn't register on the sleep section! Why do you need my location to sync !?#$*?! Fitbit compatability with certain phones needs better awareness!,,1,3,2024-04-21 10:12:37,"Hi, Jessica. Thanks for the feedback. Here's more info on why the Fitbit app is prompting you to turn on location services: https://support.google.com/fitbit/answer/14236528 For the sleep tracking, here's how it is detected and measured: https://support.google.com/fitbit/answer/14236407 For more help, reach us at: https://goo.gle/contactfitbit",2024-04-21 10:21:42,4.15.fitbit-mobile-110048703-624243509,en,us
Google Play,003ed481-d00f-417a-9375-cc1767020bf6,Can't do without my Fitbit buddy....a great app.,,5,0,2024-04-21 10:09:02,,,4.15.fitbit-mobile-110048703-624243509,en,us
Google Play,e3346944-7921-44ae-857c-86bddebc1438,Woks greay,,5,0,2024-04-21 10:04:20,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,12ad5972-ba06-424b-a5e9-471b3a26ecb3,"Fitbits sleep tracking used to be great, but after the recent update it's now horrible, what the hell are they doing over there.",,1,2,2024-04-21 10:04:04,,,4.15.fitbit-mobile-110048703-624243509,en,us
Google Play,b393ad76-177d-42e0-9deb-1057b1914e3a,Nice and friendly app,,5,0,2024-04-21 10:03:50,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,9e419fdc-5862-47f2-a3d8-33b5a965bf53,"Update: stop making this worse with every update! Awful redesign. New layout doesn't let you reprioritise features. Absolutely no need to change it, other than maybe for some development team to justify their positions by making unnecessary changes. Change it back",,1,3,2024-04-21 10:02:15,,,4.15.fitbit-mobile-110048703-624243509,en,us
Google Play,3e4bdbee-0f0c-41bc-8d48-2669e04164ad,Latest update ro the dashboard view is terrible. The sleep tracker is incredibly difficult to view. It needs to get changed back or at least give users the option to go back to the previous view.,,3,0,2024-04-21 09:53:58,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,448deb63-1a78-4ed1-ac85-ee0a3b5a3353,"Occasionally, the weather app doesn't work.",,4,0,2024-04-21 09:42:45,"Hi, Maureen. Sorry about this. To help you out, please try the suggested weather tips here: https://support.google.com/fitbit/answer/14237125 If you need further assistance, feel free to reach us at: https://goo.gle/contactfitbit",2024-04-21 10:01:26,4.15.fitbit-mobile-110048703-624243509,en,us
Google Play,dfd50d4c-d554-4536-8087-14d5a08b0843,Hate the sleep log on the latest update...not easy to read at all! Old one was much clearer!,,2,2,2024-04-21 09:25:29,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,9f6a4e8f-ef4a-4097-a29c-67abf1701de0,Started off fantastic but slowly they are taking things off....every upgrade something goes missing...calorie counter is on drugs..I aim for 2500 and all os fine but when it gets to 2600 it goes back to 1600 then after another four hundred calories it goes back to what it should be like say 3000,,3,0,2024-04-21 09:22:24,"Hi, Shaun. Sorry to hear. Fitbit estimate your calorie burn based on BMR, activities recorded by your tracker, and any activities you log manually. It will adjust depending on the activity you've done and the food that you log. For info, see: https://support.google.com/fitbit/answer/14237111 For more help, reach us at: https://goo.gle/contactfitbit",2024-04-21 09:41:19,4.15.fitbit-mobile-110048703-624243509,en,us
Google Play,7141f134-73ef-45f3-96e7-b189aed04413,Broken app. Keeps saying connecting.,,1,0,2024-04-21 09:21:42,"Hi, Padraig. Sorry to hear. Syncing difficulty is usually caused by a missing requirement. Please verify if it's met, then try these syncing tips: https://goo.gle/syncing If you need more help, feel free to reach out to our support channels at: https://goo.gle/contactfitbit",2024-04-21 09:28:03,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,e546bffa-d79f-46ef-9799-acdecc9dddfc,Like all other reviews I've had problems syncing to my phone since the last update. I've followed the instructions in the help section as per replies to others posts and this still has not fixed the issue. Very frustrating and poor customer service 😕,,1,0,2024-04-21 09:20:23,"Hi, Star. Sorry about this and thanks for troubleshooting. To help you out, make sure that these were the syncing tips you've tried: https://goo.gle/syncing For further assistance, reach out to our support channels at: https://goo.gle/contactfitbit",2024-04-21 09:29:40,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,ebdfdae0-7967-4683-abb8-09aa4aa80269,The sleep functionality of the latest update 16/4/24 is very poor. We had better feedback information as it was before. Syncing is now unreliable and I have to keep rebooting the watch.,,1,7,2024-04-21 09:17:25,"Hi, Colin. Sorry about this and thanks for the feedback. To help troubleshoot syncing, please try these tips: https://goo.gle/syncing If the issue persists, feel free to reach out to our support channels at: https://goo.gle/contactfitbit",2024-04-21 09:26:37,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,9114b33c-e4a6-4274-9a0d-bf6b0a080242,What the hell happened to the sleep page layout it looks awful and confusing,,2,3,2024-04-21 08:43:07,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,52ea54f8-b0f1-4392-9da0-b140f3994193,"Love it, wear every day. Keeps me on my heart healthy goal.I ❤️",,5,0,2024-04-21 08:36:51,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,51bf5260-f962-41c5-bfbc-81bb1c5d462f,Not linked or paired with fit it unable to!!,,2,0,2024-04-21 08:34:42,"Hi, Ingrid. Sorry about this. Syncing difficulty is usually caused by a missing requirement. Please verify if it's met, then try these syncing tips: https://goo.gle/syncing If the issue persists, feel free to reach out to our support channels at: https://goo.gle/contactfitbit",2024-04-21 08:46:59,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,ec205c69-2ff7-4e8e-80ba-bcaebb349f06,Very hard to setup and use this app now day. They should stop making the fitbit now if they are nit able to manage,,1,0,2024-04-21 08:19:03,"Hi, Brijesh. Sorry about this. For reference in troubleshooting the setup issue, see: https://support.google.com/fitbit/answer/14236619 Also, more info about the Fitbit app can be found here: https://goo.gle/AppQs If you need more help, reach us at: https://goo.gle/contactfitbit",2024-04-21 08:31:25,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,3b73846e-638b-44cb-bf11-43fbc1e09925,I LOVE FITBIT ...5 stars. However I took off two Stars for the horrible new graphs! Please switch them Back!!,,3,1,2024-04-21 07:48:04,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,6a4de094-2ec8-46f5-af47-26b177c7e999,"Sleep update sucks Who's idea was that, lol? No more world challenges . Pretty soon, more Fitbit SMH. It was fun while it lasted👎🏽",,1,4,2024-04-21 07:41:20,,,2.77,en,us
Google Play,eb55ed86-4bd0-4a9c-aa3c-f12f673b8756,What happened? The sleep tracking is out of whack. The information overlaps and the new color scheme makes it difficult to read. Please fix this!,,3,0,2024-04-21 07:34:56,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,24820850-983f-49ea-b3dd-04cdbf753638,"Instead of changing the design, it would've been cool if the developers actually fixed what's wrong with the app. The watch only holds a charge for a few days and never charges to 100%. I have to restart the fitbit to see my sp02 readings every morning. I don't agree with the awake time. I may have rolled over a few times while sleeping but I was not awake for 52 minutes all night. The app isn't wanting to sync with the fitbit lately either. I've only had the charge 5 a year. Very disappointing.",,2,50,2024-04-21 07:23:37,"Hi, Stacey. Sorry to hear and thanks for troubleshooting. For the battery issues, see: https://goo.gle/battery and https://goo.gle/batteryextend For the sleep tracking, visit: https://support.google.com/fitbit/answer/14236407 For syncing tips, check out: https://goo.gle/syncing For your other concerns, reach us at: https://goo.gle/contactfitbit",2024-04-21 07:54:49,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,e70c975c-35c8-445b-ba2f-f2e2ae9fd96b,"Google is ruining the UI and UX by replacing simple, functional layouts and data presentations with new versions that provide no benefit.",,1,2,2024-04-21 07:21:39,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,2c8916ea-dbbb-4707-9bba-f41f6d1a7e0d,The new update to Sleep UI is excellent,,5,0,2024-04-21 07:15:24,,,4.15.fitbit-mobile-110048703-624243509,en,us
Google Play,75d43e5e-8a22-404d-89bf-722fddd9bc45,Watch no longer gets any notifications after recent update,,1,0,2024-04-21 07:10:11,"Hi, Domenic. Sorry about this. To help you out, check if the notification settings are properly configured, then try these notification tips: https://support.google.com/fitbit/answer/14225533 If the issue persists, feel free to reach out to our support channels at: https://goo.gle/contactfitbit",2024-04-21 07:49:52,4.15.fitbit-mobile-110048703-624243509,en,us
Google Play,3adbef21-b325-4189-9334-20e04ca574e2,"Had a fitbit since 2018. Past couple months now won't sync. Restared app and fitbit, Updated app Deleted, reinstalled app and fitbit, Unpaired fitbit from app, Now cannot pair fitbit again. Did EVERYTHING Google suggested before they told me what to do now they're offering a replacement if the fitbit has a problem when clearly it is the app that is faulty. So do I get my fitbit back if it isn't faulty? Probably not, and I will have to pay for postage too. Something seriously needs to be done.",,1,0,2024-04-21 06:57:52,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,bb183400-5af3-4bed-bdcc-b3974442d1f0,great watch for everyday use. easy to maintain and comfortable to wear.,,5,0,2024-04-21 06:49:18,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,4b9e901c-1bf6-4a6c-80a4-9772dacd28cd,"The updated sleep tracking feature is a huge disappointment. Please bring back the old tracker, or I won't be able to ever track my sleep again!!",,1,1,2024-04-21 06:36:29,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,47a5eb2b-0496-44c1-b4ae-8f505eed76c4,The new update is so bad. Both the readability of what information is there and the availability of the information is so much worse. The sleep analysis now is practically unusable. Did they not do any user testing before release? I don't know anyone who likes the new update,,2,0,2024-04-21 05:58:55,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,b18cc503-a229-459d-a140-34a25176ef1c,Good app9,,5,0,2024-04-21 05:22:26,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,ebab0f99-19ca-4f8b-a442-f92073819e9d,I have been enjoying the app until the change in the sleep module. The layout and visuals are very annoying and look like a child's graph drawing for school. I wish you would change it back. I like the darker colors and user-friendly interface of the previous module,,3,0,2024-04-21 05:16:50,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,86799c4c-152c-4c4a-9070-c9a3c782a942,Since the update I have been deleting this app because when I'm getting ready to go to bed I am no longer able to click on sleep time. Then 2 days later I have to do it again.,,3,1,2024-04-21 04:55:10,"Hi, Jocelyne. Sorry about this and thanks for troubleshooting. To help you out, try to force quit the Fitbit app, delete its cache from your phone's app settings, restart your device, relaunch the Fitbit app, then test it again. If the issue persists, reach out to our support channels at: https://goo.gle/contactfitbit",2024-04-21 05:09:13,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,b5e6f769-7e02-4231-849d-a7d00b74a461,I've had a fitbit since 2011! This update is horrible! The sleep update is worthless for anyone trying to see the individual kind of sleep acquired. Please remove the update! We want the old fitbit screen! 👎👎👎,,1,1,2024-04-21 04:49:40,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,ffedba48-53db-4e56-bdac-2f679c6a6104,I really dont like the new sleep information since the most recent update. It's difficult to read. Please return to the previous interface.,,1,0,2024-04-21 04:35:13,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,357e8926-05ed-4a0b-982e-881a893166f6,Need to upgrade to more features!,,4,0,2024-04-21 04:21:00,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,cdaf0207-b023-448b-8032-197debfe70f5,Quit changing the look all the time. You get use to it and then you change. You no longer provide sleep data on naps.,,3,1,2024-04-21 04:14:13,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,a860d0a2-01c3-4387-a25d-2201120b8b6d,Easy to use ... Good,,4,0,2024-04-21 04:14:05,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,015c681a-5cea-4fc7-bda2-91fbc1f327ad,"New update, especially sleep chart, is very difficult to read. Why change what isn't broken?",,1,0,2024-04-21 04:13:33,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,2d2b3024-c4b0-469b-9998-8a9e797b8b2b,Enjoy using app while traveling and away from home gym. In many cases can continue challenges while working on the road. 💪,,5,0,2024-04-21 04:10:15,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,98ce6653-9d52-4b82-a9e5-237362234b0f,Has been good,,5,0,2024-04-21 04:09:12,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,fc5288bd-4455-421b-99e2-46955683a8b7,Sleep tracker has changed for the worst!!,,1,0,2024-04-21 03:58:35,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,042b4a4c-e53d-42ac-b846-0d7dd576446b,I absolutely LOVE my FitBit and the app too. It's like a piece of my anatomy,,5,0,2024-04-21 03:51:02,,,,en,us
Google Play,71d057ce-541a-44cd-be1f-949c4acdfce0,"I do NOT like the new layout of the app. Quite frankly, it sucks. If you don't change it back, my family will be canceling the premium membership. We're spending $50/month for something that is not worth it anymore.",,1,1,2024-04-21 03:45:59,,,4.15.fitbit-mobile-110048703-624243509,en,us
Google Play,4248582d-66f4-4d5c-8681-7288546d1a73,"Loved before the latest update. Since then, Luxe time is off by 4 hours. I've tried EVERYTHING to fix it. It will not sync, yet data is showing in App.; however, with the time difference, the data doesn't match. I hope there's a new release soon so I can use again.",,3,0,2024-04-21 03:43:09,"Hi, Rose. Sorry about this and thanks for troubleshooting. This may be fixed by updating the time zone setting in your personal settings. For step-by-step instructions, see: https://support.google.com/fitbit/answer/14237929 If you need more help, reach us at: https://goo.gle/contactfitbit",2024-04-21 03:49:31,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,e1fbce66-c93f-4a75-bb2c-3c16adea3a15,Why can't I view/change/delete my sleep??? Just because I wasn't moving doesn't mean I was sleeping!,,1,0,2024-04-21 03:07:26,"Hi, Anne. Sorry about this. To cover all the bases, try to force quit the app, restart your phone, relaunch the Fitbit app, then try editing your sleep again: https://support.google.com/fitbit/answer/14236407 If you need more help, reach us at: https://goo.gle/contactfitbit",2024-04-21 03:27:37,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,cd708396-3f60-4b04-9325-9321811e4821,Really good app although I must say it could be alittle more disabled friendly for example disabled friendly exercises achievements eg badges trophys am speaking for myself being disabled I understand its a 'fitness app' but disabled people need certain exercises to help them as well if this makes any kind of sense x,,4,0,2024-04-21 02:33:01,"Hi, Becca. Get the attention of our Product Teams by sharing your ideas on our Suggestions Board: https://community.fitbit.com/t5/Feature-Suggestions/idb-p/features

We'll see you there.",2024-04-21 02:37:03,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,b495d545-4d57-486f-9717-9f094fa3e709,"Update makes it not sync properly, relies too much on wifi to work all the time. Now I can't even recover my password. They probably want you to have to buy a new one lol.",,4,0,2024-04-21 02:16:51,"Hi, there. We have troubleshooting steps that can help your Fitbit device to sync again: https://goo.gle/syncing

But if the issue persists, please contact us so we can help you in finding a better resolution. You can reach our help page here: https://goo.gle/contactfitbit",2024-04-21 00:17:59,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,0e8c22ff-4d02-43cb-885b-b6885d5580fd,Great app. Enjoying the information it provides.,,5,0,2024-04-21 02:10:40,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,b22204f5-a9e9-4c1e-9af9-6955d4944f2a,"The UI has drastically changed, specifically the sleep section of the app. It used to be so clear to read and access sleep history, including detailed information about a sleep, but now it's really difficult to read and access things. I previously had thoroughly enjoyed the app but now it's very difficult to use and read reports on here.",,1,2,2024-04-21 01:57:40,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,e90ce301-a14e-4115-974e-ba8b5a3598f2,"As a fan of Google, I kind of expected more after the change over. I don't understand why it takes so long to sync my fitbit with the app or why it takes so long for the app to reflect calories and exercise to show up across all tabs. I don't get why sometimes I can't track food because there are zero results as if no one has ever eaten an egg before *rolling eyes* of course I'm going to just live and hope it gets fixed but I'm looking at other options. Never used to be like this before Google",,2,1,2024-04-21 01:34:18,"Hi, John. We're sorry to hear about this. The first thing we have to do to resolve these issues is to get your device to sync constantly. Please try our syncing tips here: https://goo.gle/syncing

But if the issues persist, please don't hesitate to contact us on our help page so we can take a closer look: https://goo.gle/contactfitbit",2024-04-21 01:43:31,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,5e176d57-d0ca-4239-a5c0-3b95ef4d3cf1,I am happy with the performance of this device,,4,0,2024-04-21 01:22:38,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,d58d3733-c75c-43d4-b1d3-5ba59f3f8564,I really like that it rates my movement and my sleep. It is definitely more than a pedometer!,,5,0,2024-04-21 01:09:09,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,c14e6b09-0665-4c8a-9649-f697cacb5748,"Used to be ok but doesn't work since the update. Logs out constantly, sleep not being recorded, sleep details changed to something you can't understand as well as chart used before etc etc... Gutted as only just upgraded to sense 2 but app is a real let down. Sleep tracker is high priority and it's not working.",,2,1,2024-04-21 00:54:49,"Hi, Lauren. We're sorry to hear about these. We'll make sure that our team is aware of your feedback about the sleep info in the Fitbit app. But for the other issues, please contact us on our help page so you can share with us more details. You can reach our help page here: https://goo.gle/contactfitbit",2024-04-21 01:28:55,4.15.fitbit-mobile-110048703-624243509,en,us
Google Play,36bdd1b6-3725-404b-a2b6-f3dc5cb8094f,"Terrible. Why would you downgrade everyone to this new ""update""? Awful, awful, awful. Edit: my last review was 09/23. With this new update 04/24 the sleep tracking is now unusable. Sadly this is my last Fitbit and I'll be moving on.",,1,1,2024-04-21 00:52:18,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,06d857cd-147d-463b-9097-1f2020d651f9,I am pleased with the device.,,4,0,2024-04-21 00:46:48,,,4.14.fitbit-mobile-110045073-617559692,en,us
Google Play,d12b76de-2a92-40f7-b8af-bc82c8f15306,"I used to have a good experience with this app until the latest two updates. The most recent one is just downright awful. The sleep graphics are not at all user friendly, the color scheme is bad and the whole design is just plain terrible. It's like they want to make people pissed off by choosing the most bland and unfriendly graphics. It makes me think of choosing another brand because I don't even feel like checking my stats if they keep this terrible design. Bring back colors!",,1,2,2024-04-21 00:37:57,,,4.15.fitbit-mobile-110048703-624243509,en,us
Google Play,907216b5-6aa2-42a0-b91d-85da92515d2a,Was brilliant but since Google took over I keep loosing connection with my phone and it takes ages to get it back. The phone is a Samsung s22 ultra and updated as and when necessary. I am now thinking of just going back to an ordinary watch!! Update 20/04/2024 If I could give no stars I would. Since Google took over the app has been changed and not for the better! The sleep record is all over the place. It is now more difficult to make sense of and is no longer accurate despite Updates 😕,,1,1,2024-04-21 00:34:53,,,4.15.fitbit-mobile-110048703-624243509,en,us
Google Play,a861b991-b669-4bc9-830a-3e08dddeea41,I've used fitbit for 10 years and the latest update is dreadful! Can't delete a sleep that didn't happen and the sleep pattern is not easy to see or understand anymore. It's terrible! Please fix it,,1,1,2024-04-21 00:33:43,,,4.14.fitbit-mobile-110045073-617559692,en,us
